Observer,Transect_number,Observer_Transect_number,PointID,Date,latitude,longitude,Location,BAWA_pre_abs,Elevation,LiveM,LiveY,DiscM,DiscY,Snags,Tree_height_average,Girth_average,Understorey_category,Understorey_height_category,Thatch_palm_height_category,Wind_damage,Fire_disturbance
DP,1,1,1A,19/04/2018,26.65921667,-78.53473333,LE,0,9,6,0,4,0,1,15,58,2,1,1,0,3
DP,1,1,1B,19/04/2018,26.66108808,-78.53504466,LE,0,6,3,1,1,0,2,17,60,2,1,1,1,3
DP,1,1,1C,23/06/2018,26.65895432,-78.53730814,LE,0,10,5,0,1,0,3,15,52,2,1,1,0,3
DP,1,1,1D,23/06/2018,26.66062834,-78.53679983,LE,0,5,0,0,4,0,6,14,57,1,1,1,2,4
MG,2,1,1A,19/04/2018,26.66151667,-78.53313333,LE,0,5,0,16,0,7,2,2,12,2,1,1,0,3
MG,2,1,1B,19/04/2018,26.6598,-78.53273333,LE,0,8,3,0,9,3,1,15,51,2,1,1,1,3
MG,2,1,1C,23/06/2018,26.66186667,-78.53101667,LE,0,2,0,3,0,17,1,3,26,2,1,2,0,3
MG,2,1,1D,23/06/2018,26.66013333,-78.53061667,LE,0,1,10,2,1,0,1,15,62,2,1,1,1,3
DP,3,2,2A,25/04/2018,26.59464337,-78.49009901,LE,0,11,6,2,0,0,0,15,62,1,1,1,0,4
DP,3,2,2B,25/04/2018,26.59437673,-78.49190075,LE,0,10,11,0,0,0,3,15,60,3,2,2,1,2
DP,3,2,2C,25/04/2018,26.59593793,-78.49018974,LE,0,13,3,3,0,0,2,14,55,1,1,2,2,4
DP,3,2,2D,25/04/2018,26.59555236,-78.49199904,LE,1,9,3,0,0,0,2,11,64,3,1,2,2,1
MG,4,2,2A,25/04/2018,26.59225934,-78.49036832,LE,0,8,9,1,2,0,0,15,61,1,1,2,2,3
MG,4,2,2B,25/04/2018,26.5923,-78.49166667,LE,0,8,3,11,1,4,0,15,63,1,1,1,2,4
MG,4,2,2C,25/04/2018,26.59075,-78.49051667,LE,0,8,11,0,1,0,0,17,78,1,1,2,2,4
MG,4,2,2D,25/04/2018,26.59075,-78.49163333,LE,0,10,15,0,1,0,1,17,74,1,1,2,2,4
DP,5,3,3A,25/04/2018,26.59670686,-78.49451345,LE,1,7,5,0,0,0,2,15,50,1,1,2,1,4
DP,5,3,3B,25/04/2018,26.59575819,-78.49327792,LE,0,5,3,0,0,0,0,15,35,1,2,2,1,3
DP,5,3,3C,06/05/2018,26.59735411,-78.49367299,LE,1,7,10,0,0,0,2,17,47,2,1,2,0,2
DP,5,3,3D,06/05/2018,26.59623433,-78.49248923,LE,0,5,7,0,0,0,4,13,50,2,1,2,1,3
MG,6,3,3A,25/04/2018,26.5943,-78.49495,LE,1,9,14,0,0,0,0,17,70,1,1,2,2,4
MG,6,3,3B,25/04/2018,26.59541667,-78.49636667,LE,0,5,13,1,1,0,1,16,55,2,1,2,1,3
MG,6,3,3C,06/05/2018,26.59278333,-78.49585,LE,1,8,3,0,0,0,0,18,62,1,1,2,2,3
MG,6,3,3D,06/05/2018,26.59365,-78.49741667,LE,1,5,15,0,1,0,1,11,53,1,1,2,2,3
DP,7,4,4A,26/04/2018,26.61611891,-78.49245395,LE,1,6,6,7,0,5,0,11,68,1,1,2,0,3
DP,7,4,4B,26/04/2018,26.61618333,-78.49061667,LE,1,7,3,7,0,0,1,13,38,1,1,2,0,2
DP,7,4,4C,26/04/2018,26.61419469,-78.49177446,LE,0,8,8,4,1,0,0,9,44,1,1,1,0,2
DP,7,4,4D,26/04/2018,26.61496207,-78.49053754,LE,1,11,5,2,0,5,1,13,43,1,1,1,0,3
MG,8,4,4A,26/04/2018,26.61797205,-78.49096908,LE,1,9,25,0,4,1,0,10,45,2,1,2,0,3
MG,8,4,4B,26/04/2018,26.6177,-78.49266667,LE,1,17,20,2,7,5,0,14,48,2,1,2,0,3
MG,8,4,4C,26/04/2018,26.61958333,-78.49115,LE,1,10,18,1,3,1,0,12,47,2,1,2,0,3
MG,8,4,4D,26/04/2018,26.61936667,-78.49325,LE,0,15,19,0,2,5,0,13,51,2,1,2,0,3
DP,9,5,5A,26/04/2018,26.62375,-78.50271667,LE,1,6,7,1,0,0,0,13,51,1,1,1,0,3
DP,9,5,5B,26/04/2018,26.62285,-78.5009,LE,0,7,6,2,0,0,2,15,64,1,1,1,0,3
DP,9,5,5C,26/04/2018,26.62580986,-78.50087672,LE,0,8,7,0,0,0,2,14,72,1,1,2,0,3
DP,9,5,5D,26/04/2018,26.62456926,-78.49935203,LE,0,6,7,0,0,0,2,14,72,1,1,2,1,3
MG,10,5,5A,26/04/2018,26.62136667,-78.50235,LE,0,11,30,0,1,0,0,13,47,2,1,2,0,3
MG,10,5,5B,26/04/2018,26.62211667,-78.50411667,LE,1,5,17,1,0,0,0,13,58,2,1,2,0,3
MG,10,5,5C,26/04/2018,26.61928333,-78.50363333,LE,0,8,15,0,10,0,0,15,46,2,1,2,0,3
MG,10,5,5D,26/04/2018,26.61973333,-78.50563333,LE,0,10,22,0,2,0,0,11,43,2,1,2,0,3
DP,11,6,6A,29/04/2018,26.612,-78.499,LE,1,9,7,0,0,0,2,14,72,1,1,2,0,3
DP,11,6,6B,29/04/2018,26.61165,-78.50098333,LE,1,9,8,8,0,0,0,20,50,1,1,1,0,3
DP,11,6,6C,29/04/2018,26.60978333,-78.50055,LE,1,9,6,6,0,0,0,17,43,1,1,2,0,3
DP,11,6,6D,29/04/2018,26.61028333,-78.4986,LE,1,9,5,5,0,0,1,16,48,1,1,2,0,3
MG,12,6,6A,29/04/2018,26.61403333,-78.49965,LE,1,13,20,0,5,6,1,14,46,2,1,2,0,2
MG,12,6,6B,29/04/2018,26.61328333,-78.5016,LE,1,10,13,13,0,0,0,12,56,2,1,2,0,3
MG,12,6,6C,29/04/2018,26.61536667,-78.50031667,LE,0,9,4,0,14,1,1,14,55,2,1,2,0,2
MG,12,6,6D,29/04/2018,26.61475,-78.50233333,LE,1,9,16,5,0,0,0,13,63,2,1,2,0,2
DP,13,7,7A,29/04/2018,26.62073333,-78.51311667,LE,0,9,15,0,2,0,0,22,23,4,1,2,2,1
DP,13,7,7B,29/04/2018,26.62021667,-78.51505,LE,0,5,8,12,0,0,4,10,20,2,1,1,2,2
DP,13,7,7C,29/04/2018,26.61888333,-78.51516667,LE,1,7,8,3,0,0,3,15,14,1,1,2,2,4
DP,13,7,7D,29/04/2018,26.6185,-78.5132,LE,0,5,0,0,0,0,14,9,22,2,1,2,2,3
MG,14,7,7A,29/04/2018,26.62288333,-78.51511667,LE,0,7,10,1,0,0,2,11,44,4,1,2,2,2
MG,14,7,7B,29/04/2018,26.6216,-78.51641667,LE,0,5,12,0,0,0,2,12,55,2,1,2,2,3
MG,14,7,7C,29/04/2018,26.62414124,-78.51634979,LE,0,19,21,0,0,0,4,12,47,4,1,2,2,2
MG,14,7,7D,29/04/2018,26.62275,-78.51786667,LE,0,11,12,0,0,0,1,13,60,3,1,1,2,3
DP,15,8,8A,30/04/2018,26.6239,-78.4588,LE,0,4,0,8,3,0,1,12,40,3,1,2,0,2
DP,15,8,8B,30/04/2018,26.62382432,-78.46092406,LE,0,6,20,0,20,0,0,15,34,1,1,2,0,3
DP,15,8,8C,30/04/2018,26.62553333,-78.45913333,LE,0,7,3,4,1,0,0,8,21,1,1,1,0,1
DP,15,8,8D,30/04/2018,26.6252597,-78.46142584,LE,0,5,7,4,11,0,2,8,46,1,1,1,0,3
MG,16,8,8A,30/04/2018,26.62220759,-78.461609,LE,0,12,0,0,19,3,2,8,34,2,1,2,0,3
MG,16,8,8B,30/04/2018,26.62157999,-78.45957183,LE,1,8,0,0,30,2,0,10,51,2,1,2,0,3
MG,16,8,8C,30/04/2018,26.6199,-78.46221667,LE,0,10,1,0,20,4,1,10,35,2,1,2,0,3
MG,16,8,8D,30/04/2018,26.62,-78.4604,LE,1,13,3,0,13,1,0,12,32,2,1,2,0,3
DP,17,9,9A,30/04/2018,26.64001667,-78.46635,LE,0,8,8,0,0,0,0,18,55,2,1,1,0,3
DP,17,9,9B,30/04/2018,26.6383,-78.46688333,LE,1,5,13,3,3,0,0,17,66,2,1,2,0,4
DP,17,9,9C,30/04/2018,26.63785,-78.46501667,LE,0,3,6,6,1,0,1,18,60,2,1,1,0,4
DP,17,9,9D,30/04/2018,26.63961667,-78.46458333,LE,0,6,3,4,2,0,1,9,36,2,1,1,0,3
MG,18,9,9A,30/04/2018,26.64061667,-78.46836667,LE,0,8,12,0,10,0,2,11,36,2,1,2,0,3
MG,18,9,9B,30/04/2018,26.63913333,-78.46926667,LE,0,2,9,8,1,11,2,14,53,2,1,2,0,3
MG,18,9,9C,30/04/2018,26.64178333,-78.47028333,LE,0,10,14,0,2,0,2,14,58,3,1,1,0,3
MG,18,9,9D,30/04/2018,26.64023333,-78.47148333,LE,0,5,9,10,1,12,1,17,45,2,1,2,1,3
